action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,Active,2178413,[],CHEMBL966377,Inhibition of Staphylococcus aureus NorA MDR efflux pump,B,,,BAO_0000375,BAO_0000019,assay format,COc1cc([C@H]2Oc3c(OC)cc(-c4cc(=O)c5c(O)cc(O)cc5o4)cc3O[C@@H]2CO)ccc1O,,,CHEMBL1155569,J Nat Prod,2000,,CHEMBL520369,,CHEMBL520369,,0,,712163,,1,0,,,Activity,,,,CHEMBL5114,Staphylococcus aureus,Quinolone resistance protein norA,1280,,,Activity,,,,
,Active,2178413,[],CHEMBL966377,Inhibition of Staphylococcus aureus NorA MDR efflux pump,B,,,BAO_0000375,BAO_0000019,assay format,COc1cc([C@H]2Oc3c(OC)cc(-c4cc(=O)c5c(O)cc(O)cc5o4)cc3O[C@@H]2CO)ccc1O,,,CHEMBL1155569,J Nat Prod,2000,,CHEMBL520369,,CHEMBL520369,,0,,712163,,1,0,,,Activity,,,,CHEMBL5114,Staphylococcus aureus,Quinolone resistance protein norA,1280,,,Activity,,,,
,Active,2178414,[],CHEMBL966377,Inhibition of Staphylococcus aureus NorA MDR efflux pump,B,,,BAO_0000375,BAO_0000019,assay format,COc1cc([C@H]2Oc3cc(-c4cc(=O)c5c(O)cc(O)cc5o4)cc(OC)c3O[C@@H]2CO)ccc1O,,,CHEMBL1155569,J Nat Prod,2000,,CHEMBL328060,,CHEMBL328060,,0,,712128,,1,0,,,Activity,,,,CHEMBL5114,Staphylococcus aureus,Quinolone resistance protein norA,1280,,,Activity,,,,
,Active,2178415,[],CHEMBL966377,Inhibition of Staphylococcus aureus NorA MDR efflux pump,B,,,BAO_0000375,BAO_0000019,assay format,COc1cc([C@H]2Oc3ccc(-c4cc(=O)c5c(O)cc(O)cc5o4)cc3O[C@@H]2CO)ccc1O,,,CHEMBL1155569,J Nat Prod,2000,,CHEMBL91638,,CHEMBL91638,,0,,712162,,1,0,,,Activity,,,,CHEMBL5114,Staphylococcus aureus,Quinolone resistance protein norA,1280,,,Activity,,,,
,Active,2178416,[],CHEMBL966377,Inhibition of Staphylococcus aureus NorA MDR efflux pump,B,,,BAO_0000375,BAO_0000019,assay format,COc1cc([C@H]2Oc3cc(-c4cc(=O)c5c(O)cc(O)cc5o4)ccc3O[C@@H]2CO)ccc1O,,,CHEMBL1155569,J Nat Prod,2000,,CHEMBL89401,HYDNOCARPIN,CHEMBL89401,,0,,712161,,1,0,,,Activity,,,,CHEMBL5114,Staphylococcus aureus,Quinolone resistance protein norA,1280,,,Activity,,,,
,Active,2332213,[],CHEMBL1027622,Inhibition of NorA MDR efflux pump in Staphylococcus aureus assessed as increase in antimicrobial activity of berberine at 10 ug/ml after 18 hrs by twofold serial dilution method,B,,,BAO_0000375,BAO_0000019,assay format,COc1c(C)c(O)c(C)c(O)c1C(=O)/C=C/c1ccccc1,,,CHEMBL1146518,J Nat Prod,2004,,CHEMBL463095,,CHEMBL463095,,0,,738289,,1,0,,,Activity,,,,CHEMBL5114,Staphylococcus aureus,Quinolone resistance protein norA,1280,,,Activity,,,,
,Active,2332214,[],CHEMBL1027623,Inhibition of NorA MDR efflux pump in Staphylococcus aureus assessed as increase in antimicrobial activity of erythromycin at 10 ug/ml after 18 hrs by twofold serial dilution method,B,,,BAO_0000375,BAO_0000019,assay format,COc1c(C)c(O)c(C)c(O)c1C(=O)/C=C/c1ccccc1,,,CHEMBL1146518,J Nat Prod,2004,,CHEMBL463095,,CHEMBL463095,,0,,738289,,1,0,,,Activity,,,,CHEMBL5114,Staphylococcus aureus,Quinolone resistance protein norA,1280,,,Activity,,,,
,Active,2332215,[],CHEMBL1027624,Inhibition of NorA MDR efflux pump in Staphylococcus aureus assessed as increase in antimicrobial activity of tetracycline at 10 ug/ml after 18 hrs by twofold serial dilution method,B,,,BAO_0000375,BAO_0000019,assay format,COc1c(C)c(O)c(C)c(O)c1C(=O)/C=C/c1ccccc1,,,CHEMBL1146518,J Nat Prod,2004,,CHEMBL463095,,CHEMBL463095,,0,,738289,,1,0,,,Activity,,,,CHEMBL5114,Staphylococcus aureus,Quinolone resistance protein norA,1280,,,Activity,,,,
,,2458964,[],CHEMBL1015715,Inhibition of NorA pump-mediated ethidium bromide efflux in Staphylococcus aureus K1199B at 50 uM by fluorimetric analysis,B,,,BAO_0000201,BAO_0000357,single protein format,c1ccc(C2=Nc3ccccc3SC2)cc1,,,CHEMBL1155078,J Med Chem,2008,,CHEMBL481947,,CHEMBL481947,,0,http://qudt.org/vocab/unit#Percent,744298,=,1,1,=,,Inhibition,%,,0.0,CHEMBL5114,Staphylococcus aureus,Quinolone resistance protein norA,1280,,,INH,%,UO_0000187,,0.0
,,2458965,[],CHEMBL1015715,Inhibition of NorA pump-mediated ethidium bromide efflux in Staphylococcus aureus K1199B at 50 uM by fluorimetric analysis,B,,,BAO_0000201,BAO_0000357,single protein format,O=[N+]([O-])c1ccc(C2=Nc3cc(C(F)(F)F)ccc3SC2)cc1,,,CHEMBL1155078,J Med Chem,2008,,CHEMBL447756,,CHEMBL447756,,1,http://qudt.org/vocab/unit#Percent,744493,=,1,1,=,,Inhibition,%,,69.7,CHEMBL5114,Staphylococcus aureus,Quinolone resistance protein norA,1280,,,INH,%,UO_0000187,,69.7
